CÓDIGO REGIÓN,NOMBRE REGIÓN,CÓDIGO COMUNA,NOMBRE COMUNA
1,TARAPACÁ,1101,IQUIQUE
1,TARAPACÁ,1107,ALTO HOSPICIO
1,TARAPACÁ,1401,POZO ALMONTE
1,TARAPACÁ,1404,HUARA
1,TARAPACÁ,1405,PICA
2,ANTOFAGASTA,2101,ANTOFAGASTA
2,ANTOFAGASTA,2102,MEJILLONES
2,ANTOFAGASTA,2104,TALTAL
2,ANTOFAGASTA,2201,CALAMA
2,ANTOFAGASTA,2203,SAN PEDRO DE ATACAMA
2,ANTOFAGASTA,2301,TOCOPILLA
2,ANTOFAGASTA,2302,MARÍA ELENA
3,ATACAMA,3101,COPIAPÓ
3,ATACAMA,3102,CALDERA
3,ATACAMA,3103,TIERRA AMARILLA
3,ATACAMA,3201,CHAÑARAL
3,ATACAMA,3202,DIEGO DE ALMAGRO
3,ATACAMA,3301,VALLENAR
3,ATACAMA,3303,FREIRINA
3,ATACAMA,3304,HUASCO
4,COQUIMBO,4101,LA SERENA
4,COQUIMBO,4102,COQUIMBO
4,COQUIMBO,4103,ANDACOLLO
4,COQUIMBO,4104,LA HIGUERA
4,COQUIMBO,4106,VICUÑA
4,COQUIMBO,4201,ILLAPEL
4,COQUIMBO,4202,CANELA
4,COQUIMBO,4203,LOS VILOS
4,COQUIMBO,4204,SALAMANCA
4,COQUIMBO,4301,OVALLE
4,COQUIMBO,4302,COMBARBALÁ
4,COQUIMBO,4303,MONTE PATRIA
4,COQUIMBO,4304,PUNITAQUI
5,VALPARAÍSO,5101,VALPARAÍSO
5,VALPARAÍSO,5102,CASABLANCA
5,VALPARAÍSO,5103,CONCÓN
5,VALPARAÍSO,5105,PUCHUNCAVÍ
5,VALPARAÍSO,5107,QUINTERO
5,VALPARAÍSO,5109,VIÑA DEL MAR
5,VALPARAÍSO,5201,ISLA DE PASCUA
5,VALPARAÍSO,5301,LOS ANDES
5,VALPARAÍSO,5302,CALLE LARGA
5,VALPARAÍSO,5303,RINCONADA
5,VALPARAÍSO,5304,SAN ESTEBAN
5,VALPARAÍSO,5401,LA LIGUA
5,VALPARAÍSO,5402,CABILDO
5,VALPARAÍSO,5403,PAPUDO
5,VALPARAÍSO,5404,PETORCA
5,VALPARAÍSO,5405,ZAPALLAR
5,VALPARAÍSO,5501,QUILLOTA
5,VALPARAÍSO,5502,CALERA
5,VALPARAÍSO,5503,HIJUELAS
5,VALPARAÍSO,5504,LA CRUZ
5,VALPARAÍSO,5506,NOGALES
5,VALPARAÍSO,5601,SAN ANTONIO
5,VALPARAÍSO,5602,ALGARROBO
5,VALPARAÍSO,5603,CARTAGENA
5,VALPARAÍSO,5604,EL QUISCO
5,VALPARAÍSO,5605,EL TABO
5,VALPARAÍSO,5606,SANTO DOMINGO
5,VALPARAÍSO,5701,SAN FELIPE
5,VALPARAÍSO,5702,CATEMU
5,VALPARAÍSO,5703,LLAILLAY
5,VALPARAÍSO,5704,PANQUEHUE
5,VALPARAÍSO,5705,PUTAENDO
5,VALPARAÍSO,5706,SANTA MARÍA
5,VALPARAÍSO,5801,QUILPUÉ
5,VALPARAÍSO,5802,LIMACHE
5,VALPARAÍSO,5803,OLMUÉ
5,VALPARAÍSO,5804,VILLA ALEMANA
6,O'HIGGINS,6101,RANCAGUA
6,O'HIGGINS,6102,CODEGUA
6,O'HIGGINS,6103,COINCO
6,O'HIGGINS,6104,COLTAUCO
6,O'HIGGINS,6105,DOÑIHUE
6,O'HIGGINS,6106,GRANEROS
6,O'HIGGINS,6107,LAS CABRAS
6,O'HIGGINS,6108,MACHALÍ
6,O'HIGGINS,6109,MALLOA
6,O'HIGGINS,6110,MOSTAZAL
6,O'HIGGINS,6111,OLIVAR
6,O'HIGGINS,6112,PEUMO
6,O'HIGGINS,6113,PICHIDEGUA
6,O'HIGGINS,6114,QUINTA DE TILCOCO
6,O'HIGGINS,6115,RENGO
6,O'HIGGINS,6116,REQUÍNOA
6,O'HIGGINS,6117,SAN VICENTE
6,O'HIGGINS,6201,PICHILEMU
6,O'HIGGINS,6202,LA ESTRELLA
6,O'HIGGINS,6203,LITUECHE
6,O'HIGGINS,6204,MARCHIHUE
6,O'HIGGINS,6206,PAREDONES
6,O'HIGGINS,6301,SAN FERNANDO
6,O'HIGGINS,6302,CHÉPICA
6,O'HIGGINS,6303,CHIMBARONGO
6,O'HIGGINS,6304,LOLOL
6,O'HIGGINS,6305,NANCAGUA
6,O'HIGGINS,6306,PALMILLA
6,O'HIGGINS,6307,PERALILLO
6,O'HIGGINS,6308,PLACILLA
6,O'HIGGINS,6310,SANTA CRUZ
7,MAULE,7101,TALCA
7,MAULE,7102,CONSTITUCIÓN
7,MAULE,7103,CUREPTO
7,MAULE,7104,EMPEDRADO
7,MAULE,7105,MAULE
7,MAULE,7106,PELARCO
